customerID,tenure,Contract,InternetService,MonthlyCharges,TotalCharges,PaymentMethod,TechSupport,OnlineSecurity,Churn,ChurnProbability,ChurnProbabilityPct,RiskLevel,RecommendedAction
7590-VHVEG,1,Month-to-month,DSL,29.85,29.85,Electronic check,No,No,No,0.6344330156548246,63.4,High,Priority retention outreach | Review longer-term contract incentive | Review Tech Support offer | Review Online Security offer | Review automatic payment incentive
5575-GNVDE,34,One year,DSL,56.95,1889.5,Mailed check,No,Yes,No,0.04375303293664913,4.4,Low,Review Tech Support offer
3668-QPYBK,2,Month-to-month,DSL,53.85,108.15,Mailed check,No,Yes,Yes,0.29010505498288147,29.0,Low,Review longer-term contract incentive | Review Tech Support offer
7795-CFOCW,45,One year,DSL,42.3,1840.75,Bank transfer (automatic),Yes,Yes,No,0.030969371416130934,3.1,Low,Standard customer engagement
9237-HQITU,2,Month-to-month,Fiber optic,70.7,151.65,Electronic check,No,No,Yes,0.6981212312630085,69.8,High,Priority retention outreach | Review longer-term contract incentive | Review Tech Support offer | Review Online Security offer | Review automatic payment incentive
9305-CDSKC,8,Month-to-month,Fiber optic,99.65,820.5,Electronic check,No,No,Yes,0.7811216790878402,78.1,High,Priority retention outreach | Review longer-term contract incentive | Review Tech Support offer | Review Online Security offer | Review automatic payment incentive
1452-KIOVK,22,Month-to-month,Fiber optic,89.1,1949.4,Credit card (automatic),No,No,No,0.4767128743805182,47.7,Medium,Review longer-term contract incentive | Review Tech Support offer | Review Online Security offer
6713-OKOMC,10,Month-to-month,DSL,29.75,301.9,Mailed check,No,Yes,No,0.3055112124988403,30.6,Medium,Review longer-term contract incentive | Review Tech Support offer
7892-POOKP,28,Month-to-month,Fiber optic,104.8,3046.05,Electronic check,Yes,No,Yes,0.599484144485417,59.9,High,Priority retention outreach | Review longer-term contract incentive | Review Online Security offer | Review automatic payment incentive
6388-TABGU,62,One year,DSL,56.15,3487.95,Bank transfer (automatic),No,Yes,No,0.011538737731066664,1.2,Low,Review Tech Support offer
9763-GRSKD,13,Month-to-month,DSL,49.95,587.45,Mailed check,No,Yes,No,0.20354328630324867,20.4,Low,Review longer-term contract incentive | Review Tech Support offer
7469-LKBCI,16,Two year,No,18.95,326.8,Credit card (automatic),No internet service,No internet service,No,0.027231917399002183,2.7,Low,Standard customer engagement
8091-TTVAX,58,One year,Fiber optic,100.35,5681.1,Credit card (automatic),No,No,No,0.17037744471366573,17.0,Low,Review Tech Support offer | Review Online Security offer
0280-XJGEX,49,Month-to-month,Fiber optic,103.7,5036.3,Bank transfer (automatic),No,No,Yes,0.4160126534257361,41.6,Medium,Review longer-term contract incentive | Review Tech Support offer | Review Online Security offer
5129-JLPIS,25,Month-to-month,Fiber optic,105.5,2686.05,Electronic check,Yes,Yes,No,0.4502061520547214,45.0,Medium,Review longer-term contract incentive | Review automatic payment incentive
3655-SNQYZ,69,Two year,Fiber optic,113.25,7895.15,Credit card (automatic),Yes,Yes,No,0.034229923250545476,3.4,Low,Standard customer engagement
8191-XWSZG,52,One year,No,20.65,1022.95,Mailed check,No internet service,No internet service,No,0.009024980901178422,0.9,Low,Standard customer engagement
9959-WOFKT,71,Two year,Fiber optic,106.7,7382.25,Bank transfer (automatic),No,Yes,No,0.04869125813820729,4.9,Low,Review Tech Support offer
4190-MFLUW,10,Month-to-month,DSL,55.2,528.35,Credit card (automatic),Yes,No,Yes,0.16991168183867517,17.0,Low,Review longer-term contract incentive | Review Online Security offer
4183-MYFRB,21,Month-to-month,Fiber optic,90.05,1862.9,Electronic check,No,No,No,0.5563363845167308,55.6,High,Priority retention outreach | Review longer-term contract incentive | Review Tech Support offer | Review Online Security offer | Review automatic payment incentive
8779-QRDMV,1,Month-to-month,DSL,39.65,39.65,Electronic check,No,No,Yes,0.7437218859879337,74.4,High,Priority retention outreach | Review longer-term contract incentive | Review Tech Support offer | Review Online Security offer | Review automatic payment incentive
1680-VDCWW,12,One year,No,19.8,202.25,Bank transfer (automatic),No internet service,No internet service,No,0.06894107233758194,6.9,Low,Standard customer engagement
1066-JKSGK,1,Month-to-month,No,20.15,20.15,Mailed check,No internet service,No internet service,Yes,0.1977352341294256,19.8,Low,Review longer-term contract incentive
3638-WEABW,58,Two year,DSL,59.9,3505.1,Credit card (automatic),Yes,No,No,0.014646441094522128,1.5,Low,Review Online Security offer
6322-HRPFA,49,Month-to-month,DSL,59.6,2970.3,Credit card (automatic),Yes,Yes,No,0.025014849469968986,2.5,Low,Review longer-term contract incentive
6865-JZNKO,30,Month-to-month,DSL,55.3,1530.6,Bank transfer (automatic),No,Yes,No,0.11886843927435536,11.9,Low,Review longer-term contract incentive | Review Tech Support offer
6467-CHFZW,47,Month-to-month,Fiber optic,99.35,4749.15,Electronic check,No,No,Yes,0.474273080686649,47.4,Medium,Review longer-term contract incentive | Review Tech Support offer | Review Online Security offer | Review automatic payment incentive
8665-UTDHZ,1,Month-to-month,DSL,30.2,30.2,Electronic check,No,No,Yes,0.5085350894214709,50.9,High,Priority retention outreach | Review longer-term contract incentive | Review Tech Support offer | Review Online Security offer | Review automatic payment incentive
5248-YGIJN,72,Two year,DSL,90.25,6369.45,Credit card (automatic),Yes,Yes,No,0.014196194896486105,1.4,Low,Standard customer engagement
8773-HHUOZ,17,Month-to-month,DSL,64.7,1093.1,Mailed check,No,No,Yes,0.34933418740172145,34.9,Medium,Review longer-term contract incentive | Review Tech Support offer | Review Online Security offer
3841-NFECX,71,Two year,Fiber optic,96.35,6766.95,Credit card (automatic),Yes,Yes,No,0.030373693704908444,3.0,Low,Standard customer engagement
4929-XIHVW,2,Month-to-month,Fiber optic,95.5,181.65,Credit card (automatic),No,No,No,0.7270377263208323,72.7,High,Priority retention outreach | Review longer-term contract incentive | Review Tech Support offer | Review Online Security offer
6827-IEAUQ,27,One year,DSL,66.15,1874.45,Mailed check,Yes,Yes,No,0.03316606488220755,3.3,Low,Standard customer engagement
